id,name,status,debut_gen,debut_date,grad_date,yt_channel_id,yt_topic_id,spotify_id,twitter_id,add_notes
1,Tokino Sora,1,JP0,2017-09-07,NULL,UCp6993wxpyDPHUpavwDFqgg,OFFICIAL ARTIST CHANNEL,2g9gjJayRURjomDGRLNaZR,tokino_sora,Victor Entertainment spotify_id: 5m1c9buGEkCMKQRhjLfueh; yt_topic_id: UCX1VP45sH-XFxNDzXbMeEBg
2,Roboco,1,JP0,2018-03-04,NULL,UCDqI2jOz0weumE8s7paEk6g,UCxzSeX4vGLeuBNPkgsB9ALQ,1JSf6ODLyqPpYQAHN7S1Th,robocosan,TuneCore Japan spotify_id: 2woXHHEgr1jFvWQldjFJwp
3,Hoshimachi Suisei,1,Indie,2018-03-22,NULL,UC5CwaMl1eIgY8h02uZw7u8A,UCrzT1p8gn0hQTBeMA6e2YiA,726WiFmWkohzodUxK3XjHX,suisei_hosimati,NULL
4,Yozora Mel,1,JP1,2018-06-01,NULL,UCD8HOxPs4Xvsm8H0ZxXGiBw,UNDER VARIOUS ARTISTS,4Hv8fxKG4YGfv5ezI6o4Xx,yozoramel,NULL
5,Shirakami Fubuki,1,JP1,2018-06-01,NULL,UCdn5BQ06XqgXoAxIhbqw5Rg,NULL,2GR0oaCTOgws9PfuheMw0k,shirakamifubuki,TuneCore Japan spotify_id: 4USMin8hDfV9aTwNrx07n7
6,Natsuiro Matsuri,1,JP1,2018-06-01,NULL,UCQ0UDLQCjY0rmuxCDE38FGg,UC941zySjR_pFTSQO3TvHO-A,2Q4XylLbowI36GGLh487Fp,natsuiromatsuri,TuneCore Japan spotify_id: 1bBTQ4TbdtEsntovnW8SmU
7,Aki Rosenthal,1,JP1,2018-06-01,NULL,UCFTLzh12_nrtzqBPsTCqenA,UCknTE243il4yFYDebRRC-Mw,2ANytjXP6otAgDNUwWeym5,akirosenthal,NULL
8,Akai Haato,1,JP1,2018-06-02,NULL,UC1CfXB_kRs3C-zaeTG3oGyg,NULL,1d7xr1J9jeQpwTOVCc07WU,akaihaato,NULL
9,Hitomi Chris,0,JP1,2018-06-03,2018-06-26,UCbfQf5D9v8XBp7_sQsh5rfQ,NULL,NULL,hitomikurisu,NULL
10,Sakura Miko,1,Cover Corp,2018-08-01,NULL,UC-hM6YJuNYVAmUWxeIr9FeA,UCv_ebbvZb7elf2aLI-QF7Tw,6YFKPqnL4YtX9jJmj5zkzv,sakuramiko35,GIGA yt_topic_id: UC8wc4iPSIVBIctZa5tQ961g; TuneCore Japan spotify_id: 2i4Dd0M1kOdj1t2hQBQPVm
11,Minato Aqua,1,JP2,2018-08-08,NULL,UC1opHUrw8rvnsadT-iGp7Cg,UCrt_gZvJvAB23gDHjW4hMDA,6GHr4rGFHGRUuzuCuxJA0f,minatoaqua,Spice Love yt_topic_id: UCZNTB2NcO-eUbSt0bAN-Z0w
12,Murasaki Shion,1,JP2,2018-08-17,NULL,UCXTpFs_3PqI41qX2d9tL2Rw,UNDER VARIOUS ARTISTS,5Th82IWKMPF6PpvsBl06Qj,murasakishionch,NULL
13,Nakiri Ayame,1,JP2,2018-09-03,NULL,UC7fk0CB07ly8oSl0aqKkqFg,UNDER VARIOUS ARTISTS,1dMlek4eXZns9FyjBcvrF8,nakiriayame,NULL
14,Yuzuki Choco,1,JP2,2018-09-04,NULL,UC1suqwovbL1kzsoaZgFZLKg,UNDER VARIOUS ARTISTS,7f88eYygFslxqmdh0mDWXn,yuzukichococh,NULL
15,Oozora Subaru,1,JP2,2018-09-16,NULL,UCvzGlP9oQwU--Y0r9id_jnA,UCnsJ32NFvE2IdUU20JlQBjg,1gSUbOpSpv15bOewxQ64eB,oozorasubaru,NULL
16,AZKi,1,INNK Music,2018-11-15,NULL,UC0TXe_LYZ4scaW2XMyi5_kw,UChW98xJ71aUQ7Vns_QkLy-w,0HX3yJ7THlqC9drRqhOkgo,AZKi_VDiVA,NULL
17,Ookami Mio,1,GAMERS,2018-12-07,NULL,UCp-5t9SrOQwXMU7iIjQfARg,UCHYTTba2SyK82DuoFh1FLDg,539Z6h1XU1IripGR4rTtbz,ookamimio,NULL
18,Nekomata Okayu,1,GAMERS,2019-04-06,NULL,UCvaTdHTWBGv3MKj3KVqJVCw,UCKnvC2XMqiXatNTK0N50LqA,28lO8lCOqFvDB5la90xKUW,nekomataokayu,NULL
19,Inugami Korone,1,GAMERS,2019-04-13,NULL,UChAnqc_AY5_I3Px5dig3X1Q,UNDER VARIOUS ARTISTS,6EFbQU0BE4wGLdqBjey64b,inugamikorone,NULL
20,Hanasaki Miyabi,1,STARS1,2019-06-08,NULL,UC6t3-_N8A6ME1JShZHHqOMw,NULL,NULL,miyabihanasaki,NULL
21,Kagami Kira,0,STARS1,2019-06-09,2020-11-30,UCEzsociuFqVwgZuMaZqaCsg,NULL,NULL,kagamikirach,NULL
22,Kanade Izuru,1,STARS1,2019-06-22,NULL,UCZgOv3YDEs-ZnZWDYVwJdmA,NULL,0asG3iGnDzxlo0S4O595Td,kanadeizuru,NULL
23,Usada Pekora,1,Fantasy,2019-07-17,NULL,UC1DCedRgGHBdm81E1llLhOQ,UCOqODaLthpxW0rtOgLzLmAw,4JlcSp9i5LcilRSMqaVimt,usadapekora,NULL
24,Uruha Rushia,1,Fantasy,2019-07-18,NULL,UCl_gCybOJRIgOXw6Qb4qJzQ,UNDER VARIOUS ARTISTS,70qI9Ih5VXZMuCsEVhy22C,uruharushia,NULL
25,Shiranui Flare,1,Fantasy,2019-08-07,NULL,UCvInZx9h3jC2JzsIzoOebWg,UNDER VARIOUS ARTISTS,0JHnoazUTZHoJMqRwsCDNT,shiranuiflare,NULL
